nu,gamma,eps_star,pred_stable,emp_slope,emp_stable,S_T,rho,spec_stable
0.000,1.0,0.1,1,-0.000000,1,0.270843,0.900000,1
0.005,1.0,0.1,1,-0.000000,1,0.270378,0.900250,1
0.010,1.0,0.1,1,-0.000000,1,0.269070,0.900995,1
0.015,1.0,0.1,1,-0.000000,1,0.266791,0.902225,1
0.020,1.0,0.1,1,-0.000000,1,0.263308,0.903923,1
0.025,1.0,0.1,1,-0.000000,1,0.258345,0.906066,1
0.030,1.0,0.1,0,-0.000000,1,0.252285,0.908628,1
0.035,1.0,0.1,0,-0.000000,1,0.245373,0.911580,1
0.040,1.0,0.1,0,-0.000000,1,0.237711,0.914891,1
0.045,1.0,0.1,0,-0.000000,1,0.229390,0.918533,1
0.050,1.0,0.1,0,-0.000000,1,0.220525,0.922474,1
